2020-11-21 23:36:41.821 [main] INFO  com.soft1851.admin.Application - Started Application in 7.089 seconds (JVM running for 8.111)
2020-11-21 23:39:46.730 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-21 23:39:46.730 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-21 23:39:46.742 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-11-21 23:42:03.993 [http-nio-8005-exec-3] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.updateAdmin====
2020-11-21 23:42:04.066 [http-nio-8005-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Starting...
2020-11-21 23:42:04.067 [http-nio-8005-exec-3] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-11-21 23:42:04.364 [http-nio-8005-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Start completed.
2020-11-21 23:42:04.577 [http-nio-8005-exec-3] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：583
2020-11-21 23:42:25.562 [http-nio-8005-exec-7] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.admin.service.impl.AdminUserServiceImpl.updateAdmin====
2020-11-21 23:42:25.570 [http-nio-8005-exec-7] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时：7
2020-11-21 23:45:00.575 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-21 23:45:00.970 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-21 23:45:01.554 [main] INFO  com.soft1851.admin.Application - The following profiles are active: dev
2020-11-21 23:45:02.453 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-21 23:45:02.453 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-11-21 23:45:02.472 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 MongoDB repository interfaces.
